#Simulation time: 64.20
#Flow at exit NaN( ID 1 )
#Time (s)  cummulative number of agents 

1.850000  1
2.450000  2
19.350000  3
19.750000  4
23.000000  5
23.700000  6
25.350000  7
27.400000  8
29.400000  9
31.400000  10
33.350000  11
35.350000  12
37.400000  13
37.400000  14
39.450000  15
39.450000  16
41.350000  17
43.400000  18
43.400000  19
45.350000  20
45.350000  21
47.350000  22
49.350000  23
49.400000  24
51.350000  25
51.350000  26
53.400000  27
53.400000  28
55.350000  29
57.400000  30
59.350000  31

