#Simulation time: 100.00
#Flow at exit exit( ID 1 )
#Time (s)  cummulative number of agents 

0.250000  1
1.062500  2
1.062500  3
2.062500  4
3.062500  5
4.062500  6
4.062500  7
5.062500  8
5.062500  9
6.062500  10
7.062500  11
8.062500  12
8.062500  13
9.062500  14
10.062500  15
10.062500  16
11.062500  17
12.062500  18
12.062500  19
13.062500  20
14.062500  21
14.062500  22
15.062500  23
15.062500  24
16.062500  25
17.062500  26
17.062500  27
18.062500  28
18.062500  29
19.062500  30
20.062500  31
21.031250  32
22.062500  33
23.062500  34
23.062500  35
24.062500  36
25.062500  37
26.031250  38
27.062500  39
27.062500  40
28.062500  41
29.062500  42
30.031250  43
31.062500  44
32.062500  45
32.062500  46
33.062500  47
34.062500  48
34.062500  49
35.062500  50
36.031250  51
37.062500  52
37.093750  53
38.062500  54
39.062500  55
40.062500  56
41.062500  57
42.031250  58
42.062500  59
43.062500  60
44.062500  61
44.062500  62
45.062500  63
46.062500  64
47.062500  65
48.062500  66
49.031250  67
50.062500  68
51.093750  69
52.093750  70
54.343750  71

