0.03,-1.00,5.00,-1.00,4.00
0.06,-1.00,5.00,-1.00,4.00
0.09,-0.99,5.00,-0.99,4.00
0.12,-0.99,5.00,-0.99,4.00
0.16,-0.99,5.00,-0.99,4.00
0.19,-0.98,5.00,-0.98,4.00
0.22,-0.98,5.00,-0.98,4.00
0.25,-0.98,5.00,-0.98,4.00
0.28,-0.97,5.00,-0.97,4.00
0.31,-0.97,5.00,-0.97,4.00
0.34,-0.97,5.00,-0.97,4.00
0.38,-0.97,5.00,-0.97,4.00
0.41,-0.96,5.00,-0.96,4.00
0.44,-0.96,5.00,-0.96,4.00
0.47,-0.96,5.00,-0.96,4.00
0.50,-0.95,5.00,-0.95,4.00
0.53,-0.95,5.00,-0.95,4.00
0.56,-0.95,5.00,-0.95,4.00
0.59,-0.94,5.00,-0.94,4.00
0.62,-0.94,5.00,-0.94,4.00
0.66,-0.94,5.00,-0.94,4.00
0.69,-0.93,5.00,-0.93,4.00
0.72,-0.93,5.00,-0.93,4.00
0.75,-0.93,5.00,-0.93,4.00
0.78,-0.92,5.00,-0.92,4.00
0.81,-0.92,5.00,-0.92,4.00
0.84,-0.92,5.00,-0.92,4.00
0.88,-0.92,5.00,-0.92,4.00
0.91,-0.91,5.00,-0.91,4.00
0.94,-0.91,5.00,-0.91,4.00
0.97,-0.91,5.00,-0.91,4.00
1.00,-0.90,5.00,-0.90,4.00
1.03,-0.90,5.00,-0.90,4.00
1.06,-0.90,5.00,-0.90,4.00
1.09,-0.89,5.00,-0.89,4.00
1.12,-0.89,5.00,-0.89,4.00
1.16,-0.89,5.00,-0.89,4.00
1.19,-0.88,5.00,-0.88,4.00
1.22,-0.88,5.00,-0.88,4.00
1.25,-0.88,5.00,-0.88,4.00
1.28,-0.87,5.00,-0.87,4.00
1.31,-0.87,5.00,-0.87,4.00
1.34,-0.87,5.00,-0.87,4.00
1.38,-0.87,5.00,-0.87,4.00
1.41,-0.86,5.00,-0.86,4.00
1.44,-0.86,5.00,-0.86,4.00
1.47,-0.86,5.00,-0.86,4.00
1.50,-0.85,5.00,-0.85,4.00
1.53,-0.85,5.00,-0.85,4.00
1.56,-0.85,5.00,-0.85,4.00
1.59,-0.84,5.00,-0.84,4.00
1.62,-0.84,5.00,-0.84,4.00
1.66,-0.84,5.00,-0.84,4.00
1.69,-0.83,5.00,-0.83,4.00
1.72,-0.83,5.00,-0.83,4.00
1.75,-0.83,5.00,-0.83,4.00
1.78,-0.82,5.00,-0.82,4.00
1.81,-0.82,5.00,-0.82,4.00
1.84,-0.82,5.00,-0.82,4.00
1.88,-0.82,5.00,-0.82,4.00
1.91,-0.81,5.00,-0.81,4.00
1.94,-0.81,5.00,-0.81,4.00
